store_id,item_id,item_name,category,vendor_id,vendor_name,gap_start,gap_end,gap_days,avg_daily_gmv_before,estimated_lost_gmv,active_gap,store_name,country,format,region
TIENDA_027,ITEM_123,Electrónica Producto 123,Electrónica,VND_010,Proveedor J,2024-12-08,2025-02-04,59,475.09000000000003,28030.31,False,Tienda Quetzaltenango 27,GT,DESCUENTO,Capital
TIENDA_029,ITEM_091,Electrónica Producto 91,Electrónica,VND_021,Proveedor U,2024-12-26,2025-03-10,75,322.1264285714286,24159.482142857145,False,Tienda San Salvador 29,SV,DESCUENTO,Occidente
TIENDA_036,ITEM_096,Electrónica Producto 96,Electrónica,VND_027,Proveedor Z1,2024-08-13,2024-11-27,107,203.1828571428571,21740.56571428571,False,Tienda Heredia 36,CR,EXPRESS,Sur
TIENDA_021,ITEM_123,Electrónica Producto 123,Electrónica,VND_010,Proveedor J,2024-06-24,2024-08-23,61,342.29714285714283,20880.125714285714,False,Tienda San José 21,CR,SUPERMERCADO,Sur
TIENDA_024,ITEM_141,Electrónica Producto 141,Electrónica,VND_004,Proveedor D,2025-03-28,2025-06-03,68,287.2442857142857,19532.61142857143,False,Tienda Santa Ana 24,SV,DESCUENTO,Occidente
TIENDA_007,ITEM_069,Electrónica Producto 69,Electrónica,VND_020,Proveedor T,2024-05-15,2024-06-23,40,477.5507142857144,19102.028571428575,False,Tienda Guatemala City 7,GT,HIPERMERCADO,Oriente
TIENDA_016,ITEM_007,Electrónica Producto 7,Electrónica,VND_019,Proveedor S,2025-03-23,2025-05-11,50,362.9857142857143,18149.285714285717,False,Tienda Alajuela 16,CR,SUPERMERCADO,Sur
TIENDA_037,ITEM_091,Electrónica Producto 91,Electrónica,VND_021,Proveedor U,2025-04-02,2025-06-25,85,205.78857142857143,17492.02857142857,False,Tienda Quetzaltenango 37,GT,EXPRESS,Sur
TIENDA_024,ITEM_123,Electrónica Producto 123,Electrónica,VND_010,Proveedor J,2024-10-06,2024-12-18,74,218.16285714285715,16144.051428571429,False,Tienda Santa Ana 24,SV,DESCUENTO,Occidente
TIENDA_026,ITEM_141,Electrónica Producto 141,Electrónica,VND_004,Proveedor D,2025-02-13,2025-04-11,58,270.21,15672.179999999998,False,Tienda Cartago 26,CR,DESCUENTO,Norte
TIENDA_031,ITEM_168,Electrónica Producto 168,Electrónica,VND_003,Proveedor C,2024-04-15,2024-06-05,52,295.5407142857143,15368.117142857142,False,Tienda San José 31,CR,DESCUENTO,Sur
TIENDA_034,ITEM_123,Electrónica Producto 123,Electrónica,VND_010,Proveedor J,2025-01-17,2025-03-06,49,310.46642857142854,15212.854999999998,False,Tienda Sonsonate 34,SV,DESCUENTO,Sur
TIENDA_013,ITEM_071,Electrónica Producto 71,Electrónica,VND_016,Proveedor P,2025-01-30,2025-03-03,33,457.6928571428571,15103.864285714286,False,Tienda Tegucigalpa 13,HN,SUPERMERCADO,Capital
TIENDA_032,ITEM_141,Electrónica Producto 141,Electrónica,VND_004,Proveedor D,2024-12-30,2025-04-01,93,162.16928571428573,15081.743571428573,False,Tienda Quetzaltenango 32,GT,DESCUENTO,Oriente
TIENDA_040,ITEM_062,Electrónica Producto 62,Electrónica,VND_029,Proveedor Z3,2025-02-17,2025-05-03,76,195.725,14875.1,False,Tienda Managua 40,NI,EXPRESS,Oriente
TIENDA_031,ITEM_091,Electrónica Producto 91,Electrónica,VND_021,Proveedor U,2024-12-13,2025-01-20,39,375.86857142857144,14658.874285714286,False,Tienda San José 31,CR,DESCUENTO,Sur
TIENDA_015,ITEM_141,Electrónica Producto 141,Electrónica,VND_004,Proveedor D,2024-08-30,2024-10-17,49,297.92428571428576,14598.290000000003,False,Tienda León 15,NI,SUPERMERCADO,Sur
TIENDA_025,ITEM_091,Electrónica Producto 91,Electrónica,VND_021,Proveedor U,2025-01-27,2025-04-03,67,215.2392857142857,14421.032142857142,False,Tienda León 25,NI,DESCUENTO,Oriente
TIENDA_029,ITEM_091,Electrónica Producto 91,Electrónica,VND_021,Proveedor U,2025-03-25,2025-04-28,35,406.555,14229.425000000001,False,Tienda San Salvador 29,SV,DESCUENTO,Occidente
TIENDA_033,ITEM_069,Electrónica Producto 69,Electrónica,VND_020,Proveedor T,2025-01-10,2025-02-26,48,292.20285714285717,14025.737142857144,False,Tienda La Ceiba 33,HN,DESCUENTO,Occidente
TIENDA_025,ITEM_123,Electrónica Producto 123,Electrónica,VND_010,Proveedor J,2024-09-12,2024-10-31,50,274.4357142857143,13721.785714285716,False,Tienda León 25,NI,DESCUENTO,Oriente
TIENDA_028,ITEM_142,Electrónica Producto 142,Electrónica,VND_027,Proveedor Z1,2024-03-15,2024-05-20,67,201.66714285714286,13511.698571428571,False,Tienda Tegucigalpa 28,HN,DESCUENTO,Oriente
TIENDA_036,ITEM_118,Electrónica Producto 118,Electrónica,VND_011,Proveedor K,2024-07-07,2024-10-19,105,125.7642857142857,13205.249999999998,False,Tienda Heredia 36,CR,EXPRESS,Sur
